,acc,f1,precision,recall,tnr,tpr,fpr,fnr
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.4-fls_8=102.pickle,0.8856655290102389,0.8854700854700854,0.886986301369863,0.8839590443686007,0.8873720136518771,0.8839590443686007,0.11262798634812286,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.6-fbs_46=172.pickle,0.8805460750853242,0.8813559322033899,0.8754208754208754,0.8873720136518771,0.8737201365187713,0.8873720136518771,0.12627986348122866,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.6-fls_10=156.pickle,0.8856655290102389,0.88663282571912,0.8791946308724832,0.89419795221843,0.8771331058020477,0.89419795221843,0.12286689419795221,0.10580204778156997
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.8-fbs_84=214.pickle,0.8805460750853242,0.8825503355704698,0.8679867986798679,0.8976109215017065,0.863481228668942,0.8976109215017065,0.13651877133105803,0.10238907849829351
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.8-fls_13=197.pickle,0.8856655290102389,0.88663282571912,0.8791946308724832,0.89419795221843,0.8771331058020477,0.89419795221843,0.12286689419795221,0.10580204778156997
Agg_GB0_1_257&ColSampling_GB4_smf_row-0.2-fbs_14=83.pickle,0.8532423208191127,0.8585526315789473,0.8285714285714286,0.8907849829351536,0.8156996587030717,0.8907849829351536,0.18430034129692832,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB4_smf_row-0.4-fbs_21=139.pickle,0.8532423208191127,0.8594771241830065,0.8244514106583072,0.8976109215017065,0.8088737201365188,0.8976109215017065,0.19112627986348124,0.10238907849829351
Agg_GB0_1_257&ColSampling_GB4_smf_row-0.6-fbs_32=199.pickle,0.8720136518771331,0.8756218905472636,0.8516129032258064,0.9010238907849829,0.8430034129692833,0.9010238907849829,0.15699658703071673,0.09897610921501707
Agg_GB0_1_257&ColSampling_GB4_smf_row-0.8-fbs_65=229.pickle,0.8737201365187713,0.8770764119601329,0.8543689320388349,0.9010238907849829,0.8464163822525598,0.9010238907849829,0.15358361774744028,0.09897610921501707
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.2-fbs_2=50.pickle,0.8822525597269625,0.8824531516183987,0.8809523809523809,0.8839590443686007,0.8805460750853242,0.8839590443686007,0.11945392491467577,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.2-fls_2=50.pickle,0.878839590443686,0.8786324786324786,0.8801369863013698,0.8771331058020477,0.8805460750853242,0.8771331058020477,0.11945392491467577,0.12286689419795221
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.4-fbs_4=114.pickle,0.8822525597269625,0.8824531516183987,0.8809523809523809,0.8839590443686007,0.8805460750853242,0.8839590443686007,0.11945392491467577,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.4-fls_2=115.pickle,0.8839590443686007,0.8843537414965986,0.8813559322033898,0.8873720136518771,0.8805460750853242,0.8873720136518771,0.11945392491467577,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.6-fbs_7=166.pickle,0.8856655290102389,0.8854700854700854,0.886986301369863,0.8839590443686007,0.8873720136518771,0.8839590443686007,0.11262798634812286,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.6-fls_3=167.pickle,0.8907849829351536,0.8907849829351536,0.8907849829351536,0.8907849829351536,0.8907849829351536,0.8907849829351536,0.10921501706484642,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.8-fbs_7=211.pickle,0.8822525597269625,0.8832487309644671,0.8758389261744967,0.8907849829351536,0.8737201365187713,0.8907849829351536,0.12627986348122866,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB7_smf_col-0.8-fls_6=228.pickle,0.8856655290102389,0.8858603066439523,0.8843537414965986,0.8873720136518771,0.8839590443686007,0.8873720136518771,0.11604095563139932,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB7_smf_row-0.2-fbs_11=93.pickle,0.8720136518771331,0.8739495798319328,0.8609271523178808,0.8873720136518771,0.856655290102389,0.8873720136518771,0.14334470989761092,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB7_smf_row-0.4-fbs_23=164.pickle,0.878839590443686,0.8782161234991422,0.8827586206896552,0.8737201365187713,0.8839590443686007,0.8737201365187713,0.11604095563139932,0.12627986348122866
Agg_GB0_1_257&ColSampling_GB7_smf_row-0.6-fbs_57=203.pickle,0.8856655290102389,0.8854700854700854,0.886986301369863,0.8839590443686007,0.8873720136518771,0.8839590443686007,0.11262798634812286,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB7_smf_row-0.8-fbs_75=252.pickle,0.8873720136518771,0.8885135135135136,0.8795986622073578,0.8976109215017065,0.8771331058020477,0.8976109215017065,0.12286689419795221,0.10238907849829351
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.2-fbs_10=60.pickle,0.8805460750853242,0.8813559322033899,0.8754208754208754,0.8873720136518771,0.8737201365187713,0.8873720136518771,0.12627986348122866,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.2-fls_10=54.pickle,0.8805460750853242,0.8813559322033899,0.8754208754208754,0.8873720136518771,0.8737201365187713,0.8873720136518771,0.12627986348122866,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.4-fbs_11=123.pickle,0.8805460750853242,0.8801369863013698,0.8831615120274914,0.8771331058020477,0.8839590443686007,0.8771331058020477,0.11604095563139932,0.12286689419795221
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.4-fls_10=107.pickle,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.11945392491467577,0.11945392491467577
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.6-fbs_27=181.pickle,0.8822525597269625,0.8832487309644671,0.8758389261744967,0.8907849829351536,0.8737201365187713,0.8907849829351536,0.12627986348122866,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.6-fls_14=167.pickle,0.8890784982935154,0.8896434634974533,0.8851351351351351,0.89419795221843,0.8839590443686007,0.89419795221843,0.11604095563139932,0.10580204778156997
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.8-fbs_49=224.pickle,0.8822525597269625,0.8832487309644671,0.8758389261744967,0.8907849829351536,0.8737201365187713,0.8907849829351536,0.12627986348122866,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB5_smf_col-0.8-fls_16=202.pickle,0.8890784982935154,0.8896434634974533,0.8851351351351351,0.89419795221843,0.8839590443686007,0.89419795221843,0.11604095563139932,0.10580204778156997
Agg_GB0_1_257&ColSampling_GB5_smf_row-0.2-fbs_22=89.pickle,0.8686006825938567,0.8705882352941178,0.8576158940397351,0.8839590443686007,0.8532423208191127,0.8839590443686007,0.14675767918088736,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB5_smf_row-0.4-fbs_25=147.pickle,0.8822525597269625,0.8836424957841483,0.8733333333333333,0.89419795221843,0.8703071672354948,0.89419795221843,0.1296928327645051,0.10580204778156997
Agg_GB0_1_257&ColSampling_GB5_smf_row-0.6-fbs_42=206.pickle,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.11945392491467577,0.11945392491467577
Agg_GB0_1_257&ColSampling_GB5_smf_row-0.8-fbs_58=246.pickle,0.8856655290102389,0.8873949579831932,0.8741721854304636,0.9010238907849829,0.8703071672354948,0.9010238907849829,0.1296928327645051,0.09897610921501707
Agg_GB0_1_257&RowSampling_GB3_smf_row-0.2-fbs_20=92.pickle,0.8293515358361775,0.8392282958199357,0.7933130699088146,0.8907849829351536,0.7679180887372014,0.8907849829351536,0.23208191126279865,0.10921501706484642
Agg_GB0_1_257&RowSampling_GB3_smf_row-0.4-fbs_24=142.pickle,0.8771331058020477,0.8795986622073578,0.8622950819672132,0.8976109215017065,0.856655290102389,0.8976109215017065,0.14334470989761092,0.10238907849829351
Agg_GB0_1_257&RowSampling_GB3_smf_row-0.6-fbs_28=212.pickle,0.8737201365187713,0.8758389261744967,0.8613861386138614,0.8907849829351536,0.856655290102389,0.8907849829351536,0.14334470989761092,0.10921501706484642
Agg_GB0_1_257&RowSampling_GB3_smf_row-0.8-fbs_36=248.pickle,0.8754266211604096,0.87893864013267,0.8548387096774194,0.9044368600682594,0.8464163822525598,0.9044368600682594,0.15358361774744028,0.09556313993174062
Agg_GB0_1_257&RowSampling_GB4_smf_row-0.2-fbs_11=86.pickle,0.8515358361774744,0.85667215815486,0.8280254777070064,0.8873720136518771,0.8156996587030717,0.8873720136518771,0.18430034129692832,0.11262798634812286
Agg_GB0_1_257&RowSampling_GB4_smf_row-0.4-fbs_22=159.pickle,0.878839590443686,0.8818635607321131,0.8603896103896104,0.9044368600682594,0.8532423208191127,0.9044368600682594,0.14675767918088736,0.09556313993174062
Agg_GB0_1_257&RowSampling_GB4_smf_row-0.6-fbs_26=210.pickle,0.8754266211604096,0.8773109243697479,0.8642384105960265,0.8907849829351536,0.8600682593856656,0.8907849829351536,0.13993174061433447,0.10921501706484642
Agg_GB0_1_257&RowSampling_GB4_smf_row-0.8-fbs_31=263.pickle,0.8771331058020477,0.8795986622073578,0.8622950819672132,0.8976109215017065,0.856655290102389,0.8976109215017065,0.14334470989761092,0.10238907849829351
Agg_GB0_1_257&RowSampling_GB7_smf_row-0.2-fbs_14=95.pickle,0.8617747440273038,0.864321608040201,0.8486842105263158,0.8805460750853242,0.8430034129692833,0.8805460750853242,0.15699658703071673,0.11945392491467577
Agg_GB0_1_257&RowSampling_GB7_smf_row-0.4-fbs_27=162.pickle,0.878839590443686,0.8786324786324786,0.8801369863013698,0.8771331058020477,0.8805460750853242,0.8771331058020477,0.11945392491467577,0.12286689419795221
